Date,Price,Open,High,Low,Vol.
17-Jun-21,71.06,71.55,72.3,70.86,-
16-Jun-21,72.15,72.45,72.99,71.61,426.78
15-Jun-21,72.12,71.16,72.49,70.81,336.04
14-Jun-21,70.88,70.65,71.78,70.65,319.64
11-Jun-21,70.91,70.1,71.24,69.68,563.58
10-Jun-21,70.29,69.76,70.65,68.68,492.46
9-Jun-21,69.96,70.01,70.62,69.46,410.82
8-Jun-21,70.05,69.29,70.27,68.47,441.3
7-Jun-21,69.23,69.52,70,68.93,365.62
4-Jun-21,69.62,68.91,69.76,68.33,326.25
3-Jun-21,68.81,68.76,69.4,68.19,351.37
2-Jun-21,68.83,67.99,69,67.78,333
1-Jun-21,67.72,66.68,68.87,66.41,570.99
31-May-21,66.96,66.58,67.41,66.41,-
30-May-21,66.59,66.7,66.75,66.53,-
28-May-21,66.32,66.95,67.52,66.17,390.46
27-May-21,66.85,66.16,66.92,65.47,337.54
26-May-21,66.21,66.04,66.43,65.25,376.21
25-May-21,66.07,66.02,66.51,65.41,497.39
24-May-21,66.05,63.87,66.14,63.63,466.65
21-May-21,63.58,61.89,64.07,61.56,530.83
20-May-21,62.05,63.39,63.96,61.89,29.62
19-May-21,63.36,65.28,65.35,61.95,101.9
18-May-21,65.49,66.33,67.01,64.11,167.35
17-May-21,66.27,65.5,66.43,64.83,268.48
14-May-21,65.37,63.83,65.62,63.33,383.75
13-May-21,63.82,65.75,65.81,63.09,547.69
12-May-21,66.08,65.46,66.63,64.97,508.52
11-May-21,65.28,64.9,65.5,63.68,514.95
10-May-21,64.92,65.57,65.75,63.95,448.34
7-May-21,64.9,64.9,65.24,63.9,431.42
6-May-21,64.71,65.27,65.98,64.5,389.21
5-May-21,65.63,66.45,66.76,64.92,460.07
4-May-21,65.69,64.53,66.19,64.29,370.21
3-May-21,64.49,63.64,64.68,62.91,285.97
30-Apr-21,63.58,64.88,64.95,63.08,400.52
29-Apr-21,65.01,63.7,65.47,63.65,384.49
28-Apr-21,63.86,63.04,64.53,62.67,387.68
27-Apr-21,62.94,61.97,63.3,61.91,361.54
26-Apr-21,61.91,62.06,62.31,60.66,366.87
23-Apr-21,62.14,61.65,62.43,61.25,345.41
22-Apr-21,61.43,61.11,61.87,60.61,344.7
21-Apr-21,61.35,62.39,62.56,60.86,431.49
20-Apr-21,62.44,63.47,64.25,61.5,33.04
19-Apr-21,63.38,62.98,63.63,62.63,74.38
16-Apr-21,63.13,63.32,63.88,62.83,87.8
15-Apr-21,63.46,62.83,63.57,62.53,243.37
14-Apr-21,63.15,60.44,63.44,60.38,419.81
13-Apr-21,60.18,59.64,60.59,59.64,349.73
12-Apr-21,59.7,59.35,60.77,58.73,410.22
9-Apr-21,59.32,59.76,59.95,59.1,351.44
8-Apr-21,59.6,59.52,59.93,58.82,419.91
7-Apr-21,59.77,59.26,60.04,58.12,475.54
6-Apr-21,59.33,58.8,60.9,58.62,457.35
5-Apr-21,58.65,61.5,61.5,57.63,438.86
1-Apr-21,61.45,59.49,61.75,58.86,605.57
31-Mar-21,59.16,60.45,61.17,58.85,414.16
30-Mar-21,60.55,61.96,62.27,59.94,388.19
29-Mar-21,61.56,60.93,61.77,59.41,449.36
26-Mar-21,60.97,58.48,61.36,58.32,472
25-Mar-21,58.56,60.8,60.86,57.44,580.11
